word_id,french,article,english,phonetic,week_introduced,topic,status,high_frequency,appears_in_reading,appears_in_writing,example_french,example_english,notes
W0001,bonjour,,hello / good day,bohn-ZHOOR,1,core,active,yes,yes,yes,"Bonjour, je m'appelle Alex.","Hello, my name is Alex.",new; Week 1 cumulative practice item 1
W0002,salut,,hi / bye,sah-LUU,1,core,active,yes,yes,yes,"Salut, Samira !","Hi, Samira!",new; Week 1 cumulative practice item 2
W0003,au revoir,,goodbye,oh ruh-VWAHR,1,core,active,yes,yes,yes,"Au revoir, Madame Dupont.","Goodbye, Madame Dupont.",new; Week 1 cumulative practice item 3
W0004,merci,,thank you,mehr-SEE,1,core,active,yes,yes,yes,"Merci, Marc.","Thank you, Marc.",new; Week 1 cumulative practice item 4
W0005,s'il vous plaît,,please,seel voo PLEH,1,core,active,yes,yes,yes,"Bonjour, s'il vous plaît.","Hello, please.",new; Week 1 cumulative practice item 5
W0006,je,,I,zhuh,1,core,active,yes,yes,yes,Je suis Alex.,I am Alex.,new; Week 1 cumulative practice item 6
W0007,tu,,you,too,1,core,active,yes,yes,yes,Tu es Samira.,You are Samira.,new; Week 1 cumulative practice item 7
W0008,il,,he,eel,1,core,active,yes,yes,yes,Il est Marc.,He is Marc.,new; Week 1 cumulative practice item 8
W0009,elle,,she,el,1,core,active,yes,yes,yes,Elle est Samira.,She is Samira.,new; Week 1 cumulative practice item 9
W0010,nous,,we,noo,1,core,active,yes,yes,yes,Nous sommes en classe.,We are in class.,new; Week 1 cumulative practice item 10
W0011,vous,,you,voo,1,core,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,new; Week 1 cumulative practice item 11
W0012,ils,,they (masculine/mixed),eel,1,core,active,yes,yes,yes,Ils sont en classe.,They are in class.,new; Week 1 cumulative practice item 12
W0013,elles,,they (feminine),el,1,core,active,yes,yes,yes,Elles sont en classe.,They are in class.,new; Week 1 cumulative practice item 13
W0014,je m'appelle,,my name is,zhuh mah-PELL,1,core,active,yes,yes,yes,Je m'appelle Alex.,My name is Alex.,new; Week 1 cumulative practice item 14
W0015,je suis,,I am,zhuh swee,1,core,active,yes,yes,yes,Je suis Alex.,I am Alex.,new; Week 1 cumulative practice item 15
W0016,tu es,,you are,too eh,1,core,active,yes,yes,yes,Tu es Samira.,You are Samira.,new; Week 1 cumulative practice item 16
W0017,il est,,he is,eel eh,1,core,active,yes,yes,yes,Il est Marc.,He is Marc.,new; Week 1 cumulative practice item 17
W0018,elle est,,she is,el eh,1,core,active,yes,yes,yes,Elle est Madame Dupont.,She is Madame Dupont.,new; Week 1 cumulative practice item 18
W0019,nous sommes,,we are,noo sohm,1,core,active,yes,yes,yes,Nous sommes en classe.,We are in class.,new; Week 1 cumulative practice item 19
W0020,vous êtes,,you are,voo zet,1,core,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,new; Week 1 cumulative practice item 20
W0021,sont,,are,sohn,1,core,active,yes,yes,yes,Ils sont en classe.,They are in class.,new; Week 1 cumulative practice item 21
W0022,être,,to be,EHTR,1,core,active,yes,yes,yes,Être est le verbe de la semaine.,To be is the verb of the week.,new; Week 1 cumulative practice item 22
W0023,Alex,,Alex,ah-LEKS,1,core,active,yes,yes,yes,Je m'appelle Alex.,My name is Alex.,new; Week 1 cumulative practice item 23
W0024,Samira,,Samira,sah-MEE-rah,1,core,active,yes,yes,yes,Elle est Samira.,She is Samira.,new; Week 1 cumulative practice item 24
W0025,Marc,,Marc,mark,1,core,active,yes,yes,yes,Il est Marc.,He is Marc.,current support; Week 1 cumulative practice item 25
W0026,Madame Dupont,,Ms. Dupont,mah-DAHM duu-POHN,1,core,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Ms. Dupont.,current support; Week 1 cumulative practice item 26
W0027,classe,la,class,klass,1,core,active,yes,yes,yes,Nous sommes en classe.,We are in class.,current support; Week 1 cumulative practice item 27
W0028,professeure,la,teacher,pro-feh-SUR,1,core,active,yes,yes,yes,Madame Dupont est la professeure.,Madame Dupont is the teacher.,current support; Week 1 cumulative practice item 28
W0029,ami,un,friend,ah-MEE,1,core,active,yes,yes,yes,Marc est un ami.,Marc is a friend.,current support; Week 1 cumulative practice item 29
W0030,amie,une,friend,ah-MEE,1,core,active,yes,yes,yes,Samira est une amie.,Samira is a friend.,current support; Week 1 cumulative practice item 30
